NIT;Razon_Social;Resolucion;Fecha
860501448;FIDUCIARIA COLMENA S.A.;184;2/13/1991
890924684;SOCIEDAD MERCANTIL DE AUTOMOTORES S.A.;186;2/13/1991
860028680;"INDUSTRIA TECNICA DE MADERAS S.A. ""INTECMA S.A.""";33;10/18/1991
860049957;COMPAÑIA COLOMBIANA DE QUIMICOS S.A.;1063;7/12/1991
860006965;PEGATEX LIMITADA;843;5/31/1991
860009008;FIBERGLASS COLOMBIA S.A.;188;2/13/1991
860527693;ALUMINIOS Y SISTEMAS LTDA.;32;10/18/1991
860517890;DISTRIBUIDORA COLOMBIANA DISCO BOGOTA LTDA;37;10/18/1991
890208890;ALDIA S.A.;1070;7/12/1991
860062958;REDES ELECTRICAS S.A.;842;5/31/1991
890900297;MANUFACTURAS MUÑOZ S.A.;1085;7/12/1991
890900535;KELLOGG DE COLOMBIA S.A.;34;10/18/1991
890907406;TRUJILLO GUTIERREZ Y CIA LTDA;1077;7/12/1991
890911327;"ABRASIVOS DE COLOMBIA LTDA. ""ABRACOL""";830;5/30/1991
890302442;LABORATORIOS LAVERLAM S.A;1068;7/12/1991
890204797;COMERTEX BUCARAMANGA S.A.;59;12/30/1991
890205142;DISTRIBUIDORA AVICOLA LTDA. DISTRAVES LTDA;20;10/18/1991
890705018;SIERRA PINEDA S.A.S.;22;10/18/1991
890307200;CENTRO MEDICO IMBANACO DE CALI S.A.;64;12/30/1991
890800127;CEMENTOS DE CALDAS S.A.;1073;7/12/1991
890800467;JABONERIAS HADA S.A.;1084;7/12/1991
890915686;AUTOLLANTAS NUTIBARA S.A.;8;10/18/1991
890321924;CINTAS ANDINAS DE COLOMBIA S.A.;1021;7/04/1991
800127132;HAVELLS SYLVANIA COLOMBIA S.A.;57;12/30/1991
890104438;EMPAQUES TRANSPARENTES S.A.;61;12/30/1991
890806490;CAJA DE COMPENSACION FAMILIAR DE CALDAS;191;2/13/1991
890900145;"INDUSTRIAS METALICAS SUDAMERICANAS S.A. ""IMSA S.A.""";1074;7/12/1991
890900223;CAMILO ALBERTO MEJIA Y CIA. S.A;187;2/13/1991
891300529;GRASAS S.A.;1080;7/12/1991
892300678;ETICOS SERRANO GOMEZ LIMITADA;1066;7/12/1991
890921335;LAUMAYER COLOMBIANA COMERCIALIZADORA S.A.;1076;7/12/1991
891300382;HARINERA DEL VALLE S.A.;18;10/18/1991
800049489;COSMOTEXTIL LTDA;49;7/16/1992
890903253;TRIGUISAR DE COLOMBIA S.A.;128;12/03/1992
860079793;A. C. NIELSEN DE COLOMBIA LTDA.;139;12/03/1992
860056971;LA CAMPANA SERVICIOS DE ACERO S.A.;25;4/21/1992
890702902;ELIAS ACOSTA Y CIA S.A.S;31;4/21/1992
860031885;TEXTILES SWANTEX S.A.;32;4/21/1992
860016310;PRODUCCIONES GENERALES S.A.;41;7/16/1992
891100445;ORGANIZACION ROA FLORHUILA S.A. (HOY) ORF S.A.;38;7/16/1992
